Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
SLV,El Salvador,El Salvador,Republic of El Salvador,U.S. dollar,Latin America & Caribbean,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
SOM,Somalia,Somalia,Somali Democratic Republic,Somali shilling,Sub-Saharan Africa,2017,Country uses the 2008 System of National Accounts methodology
SRB,Serbia,Serbia,Republic of Serbia,New Serbian dinar,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,São Tomé and Principe dobra,Sub-Saharan Africa,2008,Country uses the 1993 System of National Accounts methodology
SUR,Suriname,Suriname,Republic of Suriname,Suriname dollar,Latin America & Caribbean,2015,Country uses the 2008 System of National Accounts methodology
SVK,Slovak Republic,Slovak Republic,Slovak Republic,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
SVN,Slovenia,Slovenia,Republic of Slovenia,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
SWE,Sweden,Sweden,Kingdom of Sweden,Swedish krona,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,Swazi lilangeni,Sub-Saharan Africa,2011,Country uses the 2008 System of National Accounts methodology
SYC,Seychelles,Seychelles,Republic of Seychelles,Seychelles rupee,Sub-Saharan Africa,2014,Country uses the 2008 System of National Accounts methodology
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,Syrian pound,Middle East & North Africa,2000,Country uses the 1993 System of National Accounts methodology
TCD,Chad,Chad,Republic of Chad,Central African CFA franc,Sub-Saharan Africa,2005,Country uses the 1993 System of National Accounts methodology
TGO,Togo,Togo,Republic of Togo,West African CFA franc,Sub-Saharan Africa,2016,Country uses the 2008 System of National Accounts methodology
THA,Thailand,Thailand,Kingdom of Thailand,Thai baht,East Asia & Pacific,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,Tajik somoni,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
TKM,Turkmenistan,Turkmenistan,Turkmenistan,New Turkmen manat,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,U.S. dollar,East Asia & Pacific,2015,Country uses the 2008 System of National Accounts methodology
TON,Tonga,Tonga,Kingdom of Tonga,Tongan pa'anga,East Asia & Pacific,2016/17,Country uses the 1993 System of National Accounts methodology
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago dollar,Latin America & Caribbean,2012,Country uses the 2008 System of National Accounts methodology
TUN,Tunisia,Tunisia,Republic of Tunisia,Tunisian dinar,Middle East & North Africa,2015,Country uses the 1993 System of National Accounts methodology
TUR,Türkiye,Türkiye,Republic of Türkiye,New Turkish lira,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
TUV,Tuvalu,Tuvalu,Tuvalu,Australian dollar,East Asia & Pacific,2016,Country uses the 1968 System of National Accounts methodology
TZA,Tanzania,Tanzania,United Republic of Tanzania,Tanzanian shilling,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
UGA,Uganda,Uganda,Republic of Uganda,Ugandan shilling,Sub-Saharan Africa,2016/2017,Country uses the 2008 System of National Accounts methodology
UKR,Ukraine,Ukraine,Ukraine,Ukrainian hryvnia,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,Uruguayan peso,Latin America & Caribbean,2016,Country uses the 2008 System of National Accounts methodology
USA,United States,United States,United States of America,U.S. dollar,North America,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,Uzbek som,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,East Caribbean dollar,Latin America & Caribbean,2018,Country uses the 2008 System of National Accounts methodology
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,Venezuelan bolivar fuerte,Latin America & Caribbean,1997,Country uses the 1993 System of National Accounts methodology
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,Vietnamese dong,East Asia & Pacific,2010,Country uses the 1993 System of National Accounts methodology
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,Vanuatu vatu,East Asia & Pacific,2006,Country uses the 1993 System of National Accounts methodology
WSM,Samoa,Samoa,Samoa,Samoan tala,East Asia & Pacific,2013,Country uses the 1993 System of National Accounts methodology
XKX,Kosovo,Kosovo,Republic of Kosovo,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,Yemeni rial,Middle East & North Africa,1990,Country uses the 1993 System of National Accounts methodology
ZAF,South Africa,South Africa,Republic of South Africa,South African rand,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
ZMB,Zambia,Zambia,Republic of Zambia,New Zambian kwacha,Sub-Saharan Africa,2010,Country uses the 2008 System of National Accounts methodology
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,Zimbabwean Dollar,Sub-Saharan Africa,2012,Country uses the 2008 System of National Accounts methodology
